date,state,region,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential
2020-03-29,Alabama,Total,-41,-13,19,-30,-32,9
2020-03-29,Alabama,Autauga County,-42,-8,-14,,-35,16
2020-03-29,Alabama,Baldwin County,-47,-19,-27,-24,-32,9
2020-03-29,Alabama,Barbour County,-27,-20,,,-23,
2020-03-29,Alabama,Bibb County,-25,-10,,,-32,
2020-03-29,Alabama,Blount County,-36,-2,,,-29,15
2020-03-29,Alabama,Bullock County,-37,-13,,,-24,
2020-03-29,Alabama,Butler County,-37,-5,,-45,-30,
2020-03-29,Alabama,Calhoun County,-40,-17,-22,,-33,8
2020-03-29,Alabama,Chambers County,-34,1,,-12,-28,13
2020-03-29,Alabama,Cherokee County,-24,6,,,-29,
2020-03-29,Alabama,Chilton County,-41,-11,,-27,-26,14
2020-03-29,Alabama,Choctaw County,-13,-16,,,-28,
2020-03-29,Alabama,Clarke County,-27,-24,,,-27,
2020-03-29,Alabama,Clay County,-33,-14,,,-20,
2020-03-29,Alabama,Cleburne County,-22,-3,,-36,-9,
2020-03-29,Alabama,Coffee County,-28,-15,,,-26,11
2020-03-29,Alabama,Colbert County,-30,-6,-14,-20,-22,12
2020-03-29,Alabama,Conecuh County,-49,-10,,-33,-21,
2020-03-29,Alabama,Coosa County,,,,,-28,
2020-03-29,Alabama,Covington County,-37,-15,,,-23,7
2020-03-29,Alabama,Crenshaw County,-57,-17,,,-35,
2020-03-29,Alabama,Cullman County,-33,-2,86,-33,-29,8
2020-03-29,Alabama,Dale County,-34,-9,,-17,-25,11
2020-03-29,Alabama,Dallas County,-27,-2,,,-22,5
2020-03-29,Alabama,DeKalb County,-38,-7,9,-33,-23,11
2020-03-29,Alabama,Elmore County,-40,-13,50,,-37,8
2020-03-29,Alabama,Escambia County,-35,-20,,,-27,7
2020-03-29,Alabama,Etowah County,-47,-13,19,-27,-33,9
2020-03-29,Alabama,Fayette County,-23,,,,-28,
2020-03-29,Alabama,Franklin County,-27,-4,,,-14,5
2020-03-29,Alabama,Geneva County,-34,-4,,,-28,-2
2020-03-29,Alabama,Greene County,11,-22,,-32,-33,
2020-03-29,Alabama,Hale County,-46,-29,,,-14,
2020-03-29,Alabama,Henry County,-46,-8,,,-29,
2020-03-29,Alabama,Houston County,-46,-18,23,-27,-30,9
2020-03-29,Alabama,Jackson County,-31,-4,,,-25,12
2020-03-29,Alabama,Jefferson County,-48,-16,7,-43,-36,11
2020-03-29,Alabama,Lamar County,0,2,,,-28,
2020-03-29,Alabama,Lauderdale County,-43,-14,-15,,-33,9
2020-03-29,Alabama,Lawrence County,-27,-6,,,-25,7
2020-03-29,Alabama,Lee County,-52,-23,-14,,-36,11
2020-03-29,Alabama,Limestone County,-35,-12,38,,-32,9
2020-03-29,Alabama,Lowndes County,,,,-29,-34,
2020-03-29,Alabama,Macon County,-29,-12,,-42,-37,
2020-03-29,Alabama,Madison County,-46,-17,35,-39,-38,10
2020-03-29,Alabama,Marengo County,-18,-4,,,-17,
2020-03-29,Alabama,Marion County,-31,-4,,,-24,
2020-03-29,Alabama,Marshall County,-34,-4,107,,-30,8
2020-03-29,Alabama,Mobile County,-39,-11,-21,-30,-29,9
2020-03-29,Alabama,Monroe County,-28,-7,,,-27,
2020-03-29,Alabama,Montgomery County,-44,-14,-9,-14,-34,11
2020-03-29,Alabama,Morgan County,-37,-4,18,-27,-27,8
2020-03-29,Alabama,Perry County,-53,4,,,-29,
2020-03-29,Alabama,Pickens County,-36,-4,,,-36,
2020-03-29,Alabama,Pike County,-39,-36,,,-25,0
2020-03-29,Alabama,Randolph County,-29,-14,,,-22,
2020-03-29,Alabama,Russell County,-28,-5,,,-27,13
2020-03-29,Alabama,Shelby County,-43,-20,44,,-36,12
2020-03-29,Alabama,St. Clair County,-30,-15,,-24,-34,9
2020-03-29,Alabama,Sumter County,-52,-6,,,-31,
2020-03-29,Alabama,Talladega County,-31,-10,17,-12,-33,7
2020-03-29,Alabama,Tallapoosa County,-31,-9,,,-25,13
2020-03-29,Alabama,Tuscaloosa County,-46,-14,-1,-29,-40,12
2020-03-29,Alabama,Walker County,-37,-10,,-32,-24,12
2020-03-29,Alabama,Washington County,,-13,,,-25,
2020-03-29,Alabama,Wilcox County,-49,-17,,,-31,
2020-03-29,Alabama,Winston County,-28,1,,,-21,
2020-03-29,Alaska,Total,-48,-27,18,-55,-33,10
2020-03-29,Alaska,Anchorage,-49,-25,51,-53,-39,11
2020-03-29,Alaska,Bethel,,-26,,,-19,
2020-03-29,Alaska,Fairbanks North Star,-48,-34,,-76,-32,12
2020-03-29,Alaska,Juneau,-61,-34,-34,-66,-31,-1
2020-03-29,Alaska,Kenai Peninsula Borough,-49,-28,,,-24,14
2020-03-29,Alaska,Ketchikan Gateway,-48,-38,,,-32,
2020-03-29,Alaska,Kodiak Island,-50,,,,-23,
2020-03-29,Alaska,Matanuska-Susitna,-48,-33,,,-33,10
2020-03-29,Alaska,North Slope,,,,,-7,
2020-03-29,Alaska,Sitka,-59,,,,-31,
2020-03-29,Alaska,Southeast Fairbanks,,,,,-35,
2020-03-29,Alaska,Valdez-Cordova,,,,,-22,
2020-03-29,Arizona,Total,-40,-17,-7,-41,-33,10
2020-03-29,Arizona,Apache County,-38,-13,-35,-8,-27,20
2020-03-29,Arizona,Cochise County,-37,-21,-14,-23,-29,8
2020-03-29,Arizona,Coconino County,-55,-24,-25,-34,-38,12
2020-03-29,Arizona,Gila County,-14,16,95,,-28,11
2020-03-29,Arizona,Graham County,-21,14,-63,,-19,11
2020-03-29,Arizona,Greenlee County,-37,-10,,,-28,
2020-03-29,Arizona,La Paz County,-61,-35,-54,-50,-21,
2020-03-29,Arizona,Maricopa County,-40,-18,-6,-44,-33,10
2020-03-29,Arizona,Mohave County,-36,-13,-13,-23,-37,9
2020-03-29,Arizona,Navajo County,-29,-9,11,-12,-28,10
2020-03-29,Arizona,Pima County,-43,-16,-16,-43,-36,10
2020-03-29,Arizona,Pinal County,-27,-23,1,-28,-31,8
2020-03-29,Arizona,Santa Cruz County,-56,-47,-29,-25,-33,18
2020-03-29,Arizona,Yavapai County,-40,-15,6,-27,-38,9
2020-03-29,Arizona,Yuma County,-45,-21,-17,-53,-27,10
2020-03-29,Arkansas,Total,-29,-7,81,-22,-27,7
2020-03-29,Arkansas,Arkansas County,-22,-7,,,-11,
2020-03-29,Arkansas,Ashley County,-24,-4,,,-27,
2020-03-29,Arkansas,Baxter County,-30,-2,,,-26,11
2020-03-29,Arkansas,Benton County,-36,-16,56,-65,-34,9
2020-03-29,Arkansas,Boone County,-25,-17,,,-32,14
2020-03-29,Arkansas,Bradley County,-28,-17,,,-37,
2020-03-29,Arkansas,Carroll County,-27,14,,,-27,-1
2020-03-29,Arkansas,Chicot County,-19,6,,,-25,
2020-03-29,Arkansas,Clark County,-33,2,,-23,-22,
2020-03-29,Arkansas,Clay County,-7,-2,,,-21,
2020-03-29,Arkansas,Cleburne County,-16,0,,,-37,
2020-03-29,Arkansas,Cleveland County,,,,,-33,
2020-03-29,Arkansas,Columbia County,-18,-20,,,-20,
2020-03-29,Arkansas,Conway County,2,4,,-2,-25,
2020-03-29,Arkansas,Craighead County,-32,-3,-59,-5,-24,4
2020-03-29,Arkansas,Crawford County,-16,-1,,-11,-21,14
2020-03-29,Arkansas,Crittenden County,-15,-11,,-17,-26,15
2020-03-29,Arkansas,Cross County,-49,90,,,-7,
2020-03-29,Arkansas,Dallas County,-17,,,,-32,
2020-03-29,Arkansas,Desha County,-8,0,,,-33,
2020-03-29,Arkansas,Drew County,-27,-10,,,-16,
2020-03-29,Arkansas,Faulkner County,-32,-15,-21,,-31,8
2020-03-29,Arkansas,Franklin County,-8,12,,8,-16,
2020-03-29,Arkansas,Fulton County,,,,,-28,
2020-03-29,Arkansas,Garland County,-32,-12,17,,-32,7
2020-03-29,Arkansas,Grant County,-10,-17,,,-26,
2020-03-29,Arkansas,Greene County,-18,-4,,,-20,12
2020-03-29,Arkansas,Hempstead County,-19,-13,,,-24,
2020-03-29,Arkansas,Hot Spring County,5,9,,-28,-24,10
2020-03-29,Arkansas,Howard County,-8,-7,,,-29,
2020-03-29,Arkansas,Independence County,-27,9,,,-24,13
2020-03-29,Arkansas,Izard County,-24,-15,,,-29,
2020-03-29,Arkansas,Jackson County,-10,-12,,,-14,
2020-03-29,Arkansas,Jefferson County,-30,4,,-14,-26,11
2020-03-29,Arkansas,Johnson County,-24,12,-28,,-14,-2
2020-03-29,Arkansas,Lawrence County,-19,-6,,,-30,
2020-03-29,Arkansas,Lincoln County,-60,-16,,,-23,
2020-03-29,Arkansas,Little River County,-7,5,,,-34,
2020-03-29,Arkansas,Logan County,-5,13,,,-18,
2020-03-29,Arkansas,Lonoke County,-23,-5,,,-27,15
2020-03-29,Arkansas,Madison County,-10,17,,,-11,
2020-03-29,Arkansas,Marion County,4,5,,,-26,
2020-03-29,Arkansas,Miller County,-33,-10,-35,-24,-32,12
2020-03-29,Arkansas,Mississippi County,-11,-1,,-18,-15,10
2020-03-29,Arkansas,Monroe County,-26,-8,,,-34,
2020-03-29,Arkansas,Montgomery County,,,,,-33,
2020-03-29,Arkansas,Nevada County,-61,,,-23,-21,
2020-03-29,Arkansas,Newton County,,,,,-38,
2020-03-29,Arkansas,Ouachita County,-9,-21,,,-16,
2020-03-29,Arkansas,Perry County,,,,,-35,
2020-03-29,Arkansas,Phillips County,-1,-6,,,-32,
2020-03-29,Arkansas,Pike County,-30,13,,,-33,
2020-03-29,Arkansas,Poinsett County,2,-5,,,-15,
2020-03-29,Arkansas,Polk County,-17,3,,,-25,
2020-03-29,Arkansas,Pope County,-32,-9,,-11,-22,12
2020-03-29,Arkansas,Prairie County,,,,,-26,
2020-03-29,Arkansas,Pulaski County,-35,-9,73,-38,-30,9
2020-03-29,Arkansas,Randolph County,-22,12,,,-23,
2020-03-29,Arkansas,Saline County,-26,-13,-52,-10,-33,7
2020-03-29,Arkansas,Scott County,-39,,,,-27,
2020-03-29,Arkansas,Searcy County,,,,,-39,
2020-03-29,Arkansas,Sebastian County,-36,-11,45,-41,-27,7
2020-03-29,Arkansas,Sevier County,-24,-11,,,-19,
2020-03-29,Arkansas,Sharp County,-17,-7,,,-26,
2020-03-29,Arkansas,St. Francis County,-16,10,,-22,-25,
2020-03-29,Arkansas,Stone County,-11,-29,,,-26,
2020-03-29,Arkansas,Union County,-33,-8,,,-24,8
2020-03-29,Arkansas,Van Buren County,-20,,,,-39,
2020-03-29,Arkansas,Washington County,-37,-16,37,-10,-34,8
2020-03-29,Arkansas,White County,-27,-12,-19,4,-21,9
2020-03-29,Arkansas,Yell County,-11,13,16,,-19,
2020-03-29,California,Total,-50,-24,-38,-54,-39,15
2020-03-29,California,Alameda County,-58,-27,-14,-64,-44,17
2020-03-29,California,Amador County,-41,-20,-50,,-44,0
2020-03-29,California,Butte County,-45,-16,-23,-45,-34,11
2020-03-29,California,Calaveras County,-42,-12,-28,,-39,10
2020-03-29,California,Colusa County,-37,-1,,-32,-37,
2020-03-29,California,Contra Costa County,-48,-21,-15,-49,-41,15
2020-03-29,California,Del Norte County,-31,-11,-26,,-29,
2020-03-29,California,El Dorado County,-58,-37,-35,-50,-48,13
2020-03-29,California,Fresno County,-40,-14,-27,-43,-31,11
2020-03-29,California,Glenn County,-23,-14,-11,-20,-36,2
2020-03-29,California,Humboldt County,-48,-23,-10,-48,-35,11
2020-03-29,California,Imperial County,-53,-31,-65,-62,-32,16
2020-03-29,California,Inyo County,-75,-37,-35,,-39,
2020-03-29,California,Kern County,-43,-17,-16,-37,-30,11
2020-03-29,California,Kings County,-34,-14,-12,-43,-27,10
2020-03-29,California,Lake County,-38,-13,-42,-42,-33,16
2020-03-29,California,Lassen County,-30,-8,,,-22,
2020-03-29,California,Los Angeles County,-51,-27,-48,-54,-41,17
2020-03-29,California,Madera County,-39,-25,-20,-30,-30,11
2020-03-29,California,Marin County,-61,-30,-59,-61,-42,17
2020-03-29,California,Mariposa County,-75,-23,-72,,-45,
2020-03-29,California,Mendocino County,-47,-29,-39,-44,-32,17
2020-03-29,California,Merced County,-34,-18,-1,-37,-26,11
2020-03-29,California,Modoc County,-59,-9,,,-26,
2020-03-29,California,Mono County,-100,-60,-57,,-73,
2020-03-29,California,Monterey County,-46,-19,-48,-45,-43,14
2020-03-29,California,Napa County,-53,-34,-24,-45,-51,18
2020-03-29,California,Nevada County,-56,-26,-48,-73,-41,15
2020-03-29,California,Orange County,-52,-24,-31,-55,-44,17
2020-03-29,California,Placer County,-52,-27,-2,-55,-44,13
2020-03-29,California,Plumas County,-30,-8,,,-25,
2020-03-29,California,Riverside County,-43,-20,-44,-41,-39,14
2020-03-29,California,Sacramento County,-45,-21,-1,-57,-37,13
2020-03-29,California,San Benito County,-45,-25,-36,,-32,23
2020-03-29,California,San Bernardino County,-45,-23,-36,-42,-34,14
2020-03-29,California,San Diego County,-50,-26,-51,-64,-41,15
2020-03-29,California,San Francisco County,-75,-37,-55,-66,-53,21
2020-03-29,California,San Joaquin County,-41,-16,-16,-31,-30,12
2020-03-29,California,San Luis Obispo County,-56,-29,-27,-58,-45,13
2020-03-29,California,San Mateo County,-60,-26,-35,-83,-46,19
2020-03-29,California,Santa Barbara County,-47,-17,-30,-51,-40,13
2020-03-29,California,Santa Clara County,-62,-33,-22,-71,-48,17
2020-03-29,California,Santa Cruz County,-55,-27,-40,-57,-41,15
2020-03-29,California,Shasta County,-39,-15,-21,-22,-31,9
2020-03-29,California,Siskiyou County,-35,-20,-6,9,-25,13
2020-03-29,California,Solano County,-45,-21,-18,-37,-34,13
2020-03-29,California,Sonoma County,-53,-22,-58,-54,-41,15
2020-03-29,California,Stanislaus County,-44,-19,-12,-28,-29,11
2020-03-29,California,Sutter County,-41,-18,-28,-43,-34,13
2020-03-29,California,Tehama County,-34,-9,-9,-22,-27,15
2020-03-29,California,Trinity County,-65,-20,,,-28,
2020-03-29,California,Tulare County,-39,-13,-27,-28,-25,11
2020-03-29,California,Tuolumne County,-48,-17,-67,,-38,14
2020-03-29,California,Ventura County,-46,-24,-24,-40,-39,14
2020-03-29,California,Yolo County,-43,-23,2,-34,-37,13
2020-03-29,California,Yuba County,-34,-12,24,-34,-38,13
2020-03-29,Colorado,Total,-51,-27,-12,-60,-40,13
2020-03-29,Colorado,Adams County,-49,-25,-12,-30,-36,13
2020-03-29,Colorado,Alamosa County,-44,-28,,,-28,
2020-03-29,Colorado,Arapahoe County,-52,-30,14,-36,-40,14
2020-03-29,Colorado,Archuleta County,-60,-28,,,-44,
2020-03-29,Colorado,Boulder County,-59,-32,-7,-44,-47,15
2020-03-29,Colorado,Broomfield County,-57,-30,9,-46,-41,30
2020-03-29,Colorado,Chaffee County,-56,-31,-36,,-45,
2020-03-29,Colorado,Clear Creek County,-88,-55,-42,,-40,
2020-03-29,Colorado,Conejos County,,,,,-29,
2020-03-29,Colorado,Delta County,-41,-20,-40,,-19,5
2020-03-29,Colorado,Denver County,-63,-25,-17,-75,-43,16
2020-03-29,Colorado,Douglas County,-56,-36,10,-50,-43,14
2020-03-29,Colorado,Eagle County,-75,-47,-46,-67,-74,26
2020-03-29,Colorado,El Paso County,-45,-22,-1,-55,-40,12
2020-03-29,Colorado,Elbert County,-22,-16,,,-37,0
2020-03-29,Colorado,Fremont County,-35,-13,-7,,-29,14
2020-03-29,Colorado,Garfield County,-51,-35,4,-34,-45,22
2020-03-29,Colorado,Gilpin County,,,,,-67,
2020-03-29,Colorado,Grand County,-85,-49,-84,-43,-60,
2020-03-29,Colorado,Gunnison County,-73,-43,-50,,-55,
2020-03-29,Colorado,Huerfano County,-62,-43,,,-28,
2020-03-29,Colorado,Jefferson County,-53,-41,-3,-39,-43,14
2020-03-29,Colorado,Kit Carson County,-39,-20,,-18,-13,
2020-03-29,Colorado,La Plata County,-58,-28,4,-68,-43,25
2020-03-29,Colorado,Lake County,-82,-33,,,-57,
2020-03-29,Colorado,Larimer County,-53,-27,1,-38,-38,13
2020-03-29,Colorado,Las Animas County,-40,-23,,,-21,
2020-03-29,Colorado,Lincoln County,-33,-31,,-31,-30,
2020-03-29,Colorado,Logan County,-32,-15,,,-26,
2020-03-29,Colorado,Mesa County,-40,-21,11,-35,-35,9
2020-03-29,Colorado,Moffat County,-26,-22,,,-36,
2020-03-29,Colorado,Montezuma County,-39,-14,,,-31,-1
2020-03-29,Colorado,Montrose County,-45,-31,,,-36,17
2020-03-29,Colorado,Morgan County,-40,-33,0,-23,-18,14
2020-03-29,Colorado,Otero County,-32,-28,,,-25,
2020-03-29,Colorado,Ouray County,-28,,,,-56,
2020-03-29,Colorado,Park County,-84,-44,3,,-52,
2020-03-29,Colorado,Pitkin County,-100,-56,,-85,-75,
2020-03-29,Colorado,Prowers County,-32,-25,,-33,-17,
2020-03-29,Colorado,Pueblo County,-42,-21,-45,-32,-29,9
2020-03-29,Colorado,Rio Blanco County,,,,,-28,
2020-03-29,Colorado,Rio Grande County,-38,-24,,,-17,
2020-03-29,Colorado,Routt County,-82,-49,-48,-65,-62,-2
2020-03-29,Colorado,Saguache County,,,,,-44,
2020-03-29,Colorado,San Miguel County,-80,,,,-69,
2020-03-29,Colorado,Summit County,-86,-73,-74,-67,-71,5
2020-03-29,Colorado,Teller County,-46,-23,,,-45,-1
2020-03-29,Colorado,Weld County,-42,-26,-4,-32,-33,12
2020-03-29,Colorado,Yuma County,-33,-22,,,-30,
2020-03-29,Connecticut,Total,-56,-32,-52,-64,-38,15
2020-03-29,Connecticut,Fairfield County,-61,-35,-60,-72,-44,17
2020-03-29,Connecticut,Hartford County,-56,-31,-48,-61,-35,13
2020-03-29,Connecticut,Litchfield County,-51,-27,-40,,-33,13
2020-03-29,Connecticut,Middlesex County,-58,-28,-49,-60,-38,15
2020-03-29,Connecticut,New Haven County,-56,-31,-52,-62,-36,14
2020-03-29,Connecticut,New London County,-56,-28,-45,-67,-41,15
2020-03-29,Connecticut,Tolland County,-59,-33,-38,-38,-37,14
2020-03-29,Connecticut,Windham County,-42,-27,-58,-69,-32,12
2020-03-29,Delaware,Total,-47,-28,-6,-57,-37,12
2020-03-29,Delaware,Kent County,-45,-32,2,-50,-35,11
2020-03-29,Delaware,New Castle County,-48,-31,5,-60,-37,13
2020-03-29,Delaware,Sussex County,-46,-23,-5,-40,-36,11
2020-03-29,District of Columbia,Total,-64,-30,-41,-68,-47,14
2020-03-29,Florida,Total,-50,-26,-48,-63,-41,13
2020-03-29,Florida,Alachua County,-54,-26,-32,-48,-37,12
2020-03-29,Florida,Baker County,-23,-8,,-45,-27,-3
2020-03-29,Florida,Bay County,-38,-16,-2,-50,-27,8
2020-03-29,Florida,Bradford County,-26,0,,,-26,0
2020-03-29,Florida,Brevard County,-44,-22,-26,-37,-38,11
2020-03-29,Florida,Broward County,-52,-28,-62,-72,-42,16
2020-03-29,Florida,Calhoun County,-38,-5,,,-28,
2020-03-29,Florida,Charlotte County,-49,-25,-35,-33,-40,10
2020-03-29,Florida,Citrus County,-38,-15,-35,,-36,9
2020-03-29,Florida,Clay County,-33,-15,1,,-34,10
2020-03-29,Florida,Collier County,-56,-29,-62,-56,-44,14
2020-03-29,Florida,Columbia County,-36,-8,-41,-25,-25,8
2020-03-29,Florida,DeSoto County,-35,-21,-28,,-26,12
2020-03-29,Florida,Dixie County,-30,-4,,,-31,
2020-03-29,Florida,Duval County,-36,-13,-26,-40,-33,10
2020-03-29,Florida,Escambia County,-38,-10,-11,-47,-32,9
2020-03-29,Florida,Flagler County,-44,-16,-34,,-40,10
2020-03-29,Florida,Franklin County,-56,-12,-14,,-30,
2020-03-29,Florida,Gadsden County,-24,-10,,-36,-31,14
2020-03-29,Florida,Gilchrist County,-26,-1,,,-24,
2020-03-29,Florida,Glades County,-62,,-65,-39,-30,
2020-03-29,Florida,Gulf County,-28,-1,,,-16,
2020-03-29,Florida,Hamilton County,-16,-4,,-28,-24,
2020-03-29,Florida,Hardee County,-30,-29,-30,,-29,
2020-03-29,Florida,Hendry County,-34,-10,-42,,-28,12
2020-03-29,Florida,Hernando County,-36,-16,-10,-37,-36,10
2020-03-29,Florida,Highlands County,-44,-21,-49,,-36,9
2020-03-29,Florida,Hillsborough County,-52,-30,-53,-67,-42,14
2020-03-29,Florida,Holmes County,-19,-12,,,-18,
2020-03-29,Florida,Indian River County,-46,-29,-30,-47,-38,11
2020-03-29,Florida,Jackson County,-29,-11,,-32,-32,12
2020-03-29,Florida,Jefferson County,-20,-10,,,-28,
2020-03-29,Florida,Lafayette County,,,,,-28,
2020-03-29,Florida,Lake County,-42,-24,-24,-57,-41,12
2020-03-29,Florida,Lee County,-55,-28,-60,-69,-41,12
2020-03-29,Florida,Leon County,-45,-22,0,-50,-36,11
2020-03-29,Florida,Levy County,-35,-12,-20,,-31,12
2020-03-29,Florida,Liberty County,,-5,,,-28,
2020-03-29,Florida,Madison County,-41,-2,,-26,-31,
2020-03-29,Florida,Manatee County,-48,-22,-28,-63,-36,11
2020-03-29,Florida,Marion County,-41,-21,-40,-31,-34,9
2020-03-29,Florida,Martin County,-50,-28,-28,-59,-37,12
2020-03-29,Florida,Miami-Dade County,-57,-35,-77,-71,-46,18
2020-03-29,Florida,Monroe County,-74,-47,-76,-76,-55,15
2020-03-29,Florida,Nassau County,-40,-18,-24,-68,-34,10
2020-03-29,Florida,Okaloosa County,-39,-14,-7,-62,-32,9
2020-03-29,Florida,Okeechobee County,-37,-10,-23,-84,-33,11
2020-03-29,Florida,Orange County,-70,-42,-59,-80,-53,17
2020-03-29,Florida,Osceola County,-64,-40,-49,-65,-54,18
2020-03-29,Florida,Palm Beach County,-49,-23,-65,-61,-40,15
2020-03-29,Florida,Pasco County,-40,-24,-10,-25,-35,11
2020-03-29,Florida,Pinellas County,-51,-25,-16,-44,-39,12
2020-03-29,Florida,Polk County,-40,-22,-28,-29,-38,11
2020-03-29,Florida,Putnam County,-23,-15,-20,,-33,9
2020-03-29,Florida,Santa Rosa County,-28,-13,17,,-32,9
2020-03-29,Florida,Sarasota County,-52,-28,-59,-28,-41,11
2020-03-29,Florida,Seminole County,-48,-21,-19,-74,-42,13
2020-03-29,Florida,St. Johns County,-48,-13,-53,-34,-41,11
2020-03-29,Florida,St. Lucie County,-40,-14,-22,-52,-34,11
2020-03-29,Florida,Sumter County,-50,-21,-31,-36,-45,10
2020-03-29,Florida,Suwannee County,-28,-14,0,-42,-27,11
2020-03-29,Florida,Taylor County,-34,-7,,,-25,
2020-03-29,Florida,Union County,-44,-5,,,-35,
2020-03-29,Florida,Volusia County,-42,-19,-10,-39,-38,10
2020-03-29,Florida,Wakulla County,-25,-20,20,,-20,16
2020-03-29,Florida,Walton County,-46,-23,-29,-21,-31,9
2020-03-29,Florida,Washington County,-33,5,,,-31,
2020-03-29,Georgia,Total,-42,-17,-2,-52,-37,11
2020-03-29,Georgia,Appling County,-28,-16,,,-19,
2020-03-29,Georgia,Atkinson County,-29,12,,,-26,
2020-03-29,Georgia,Bacon County,-26,-15,,,-20,
2020-03-29,Georgia,Baldwin County,-34,-20,,,-31,13
2020-03-29,Georgia,Banks County,-35,,,,-19,
2020-03-29,Georgia,Barrow County,-35,-12,-37,,-34,11
2020-03-29,Georgia,Bartow County,-42,-5,40,-25,-33,9
2020-03-29,Georgia,Ben Hill County,-28,9,,,-30,
2020-03-29,Georgia,Berrien County,-28,5,,,-20,
2020-03-29,Georgia,Bibb County,-43,-16,36,-27,-32,10
2020-03-29,Georgia,Bleckley County,-31,-8,,,-37,
2020-03-29,Georgia,Brantley County,-27,-4,,,-28,
2020-03-29,Georgia,Brooks County,-38,-5,,,-23,
2020-03-29,Georgia,Bryan County,-45,-19,-9,-29,-36,18
2020-03-29,Georgia,Bulloch County,-41,-12,,,-35,9
2020-03-29,Georgia,Burke County,-24,-7,-23,,-14,
2020-03-29,Georgia,Butts County,-30,-6,,-13,-31,-1
2020-03-29,Georgia,Camden County,-35,3,7,-29,-30,16
2020-03-29,Georgia,Candler County,-57,-20,,,-24,
2020-03-29,Georgia,Carroll County,-38,-18,12,-25,-36,10
2020-03-29,Georgia,Catoosa County,-38,-8,14,,-33,16
2020-03-29,Georgia,Charlton County,-31,7,,,-25,
2020-03-29,Georgia,Chatham County,-50,-24,-32,-48,-41,11
2020-03-29,Georgia,Chattahoochee County,-53,-39,,,-36,
2020-03-29,Georgia,Chattooga County,-15,-2,,,-42,
2020-03-29,Georgia,Cherokee County,-39,-20,59,,-40,12
2020-03-29,Georgia,Clarke County,-51,-24,-21,-30,-41,12
2020-03-29,Georgia,Clayton County,-30,-18,15,-80,-33,11
2020-03-29,Georgia,Clinch County,,-2,,,-25,
2020-03-29,Georgia,Cobb County,-49,-22,-47,-38,-41,13
2020-03-29,Georgia,Coffee County,-41,-8,,,-23,11
2020-03-29,Georgia,Colquitt County,-31,-6,,,-25,13
2020-03-29,Georgia,Columbia County,-35,-7,-20,-44,-37,11
2020-03-29,Georgia,Cook County,-17,2,,-21,-21,
2020-03-29,Georgia,Coweta County,-46,-16,-56,-15,-35,11
2020-03-29,Georgia,Crawford County,,,,,-20,
2020-03-29,Georgia,Crisp County,-28,-22,,-10,-35,
2020-03-29,Georgia,Dade County,-49,-9,,-16,-23,
2020-03-29,Georgia,Dawson County,-49,-25,17,,-37,0
2020-03-29,Georgia,DeKalb County,-47,-26,-15,-27,-42,13
2020-03-29,Georgia,Decatur County,-24,-10,,,-19,-3
2020-03-29,Georgia,Dodge County,-26,-5,,,-26,
2020-03-29,Georgia,Dooly County,-59,-25,,-28,-21,
2020-03-29,Georgia,Dougherty County,-51,-24,-37,-30,-34,11
2020-03-29,Georgia,Douglas County,-40,-26,-2,-28,-37,11
2020-03-29,Georgia,Early County,-73,-23,,,-27,
2020-03-29,Georgia,Effingham County,-28,-7,,,-33,16
2020-03-29,Georgia,Elbert County,-13,3,,,-25,
2020-03-29,Georgia,Emanuel County,-21,17,,,-9,
2020-03-29,Georgia,Evans County,-22,4,,,-23,
2020-03-29,Georgia,Fannin County,-45,-21,38,,-38,
2020-03-29,Georgia,Fayette County,-40,-29,25,,-43,13
2020-03-29,Georgia,Floyd County,-36,-8,28,,-28,9
2020-03-29,Georgia,Forsyth County,-45,-32,3,,-42,13
2020-03-29,Georgia,Franklin County,-42,-15,-22,-22,-28,
2020-03-29,Georgia,Fulton County,-54,-26,-44,-47,-43,13
2020-03-29,Georgia,Gilmer County,-45,-31,,,-33,2
2020-03-29,Georgia,Glynn County,-45,-22,-32,-39,-40,10
2020-03-29,Georgia,Gordon County,-30,-8,,-20,-33,15
2020-03-29,Georgia,Grady County,-35,-6,,,-35,-1
2020-03-29,Georgia,Greene County,-17,-13,,,-36,
2020-03-29,Georgia,Gwinnett County,-50,-24,-9,-42,-46,15
2020-03-29,Georgia,Habersham County,-35,-10,,,-27,13
2020-03-29,Georgia,Hall County,-39,-19,51,-20,-34,10
2020-03-29,Georgia,Hancock County,,6,,,-24,
2020-03-29,Georgia,Haralson County,-27,-6,-29,-22,-33,8
2020-03-29,Georgia,Harris County,-4,9,,,-41,13
2020-03-29,Georgia,Hart County,-18,-6,,,-17,
2020-03-29,Georgia,Heard County,,2,,,-31,
2020-03-29,Georgia,Henry County,-42,-13,22,,-41,12
2020-03-29,Georgia,Houston County,-39,-15,-6,,-36,10
2020-03-29,Georgia,Irwin County,,-2,,,-26,
2020-03-29,Georgia,Jackson County,-61,-38,,-22,-30,16
2020-03-29,Georgia,Jasper County,-39,-2,,,-9,
2020-03-29,Georgia,Jeff Davis County,-27,-12,,,-21,
2020-03-29,Georgia,Jefferson County,-28,-3,,,-13,
2020-03-29,Georgia,Jenkins County,-33,2,,,-25,
2020-03-29,Georgia,Johnson County,,-9,,,-26,
